TIME =  0.26352E+07 NSTEP =       129601

 SPECIES   MOLECULES/CM^3  PPB
O1D        2.27957E-03 4.95042E-13
O          9.86543E+03 2.14243E-06
OH         3.69392E+05 8.02190E-05
NO2        3.13362E+06 6.80514E-04
NO3        2.39584E+01 5.20292E-09
O3         1.61529E+11 3.50785E+01
N2O5       3.14693E+04 6.83402E-06
NO         8.57211E+06 1.86156E-03
HO2        2.61982E+07 5.68934E-03
H2         1.06550E+10 2.31389E+00
CO         3.67418E+11 7.97902E+01
H2O2       3.14046E+09 6.81998E-01
HONO       5.75271E+04 1.24929E-05
HNO3       1.51723E+06 3.29488E-04
HO2NO2     8.00509E+06 1.73842E-03
SO2        0.00000E+00 0.00000E+00
SO3        0.00000E+00 0.00000E+00
HSO3       0.00000E+00 0.00000E+00
NA         2.76663E+08 6.00815E-02
SA         0.00000E+00 0.00000E+00
CH4        7.74229E+12 1.68135E+03
CH3O2      1.53009E+07 3.32281E-03
C2H6       9.92985E+08 2.15642E-01
C2H5O2     8.49135E+04 1.84402E-05
C3H8       3.30458E+07 7.17639E-03
IC3H7O2    5.03891E+03 1.09427E-06
RN10O2     2.54628E+03 5.52962E-07
NC4H10     5.13941E+06 1.11610E-03
RN13O2     4.34489E+03 9.43559E-07
C2H4       6.96002E-01 1.51147E-10
HOCH2CH2O2 9.82455E+02 2.13355E-07
C3H6       3.18936E-20 6.92617E-30
RN9O2      6.62989E+00 1.43978E-09
TBUT2ENE   4.78735E-86 1.03965E-95
RN12O2     7.68725E-02 1.66940E-11
NRN6O2     1.87212E-07 4.06558E-17
NRN9O2     2.85727E-25 6.20499E-35
NRN12O2    1.74283E-89 3.78481E-99
HCHO       2.96888E+08 6.44736E-02
HCOOH      2.86125E+07 6.21364E-03
CH3CO2H    1.43249E+03 3.11087E-07
CH3CHO     7.59591E+06 1.64957E-03
C5H8       6.27827E-94 1.36342-103
RU14O2     2.10543E-95 4.57226-105
NRU14O2    1.59242E-97 3.45818-107
UCARB10    9.10680E-01 1.97768E-10
APINENE    0.00000E+00 0.00000E+00
RTN28O2    0.00000E+00 0.00000E+00
NRTN28O2   0.00000E+00 0.00000E+00
RTN26O2    0.00000E+00 0.00000E+00
TNCARB26   0.00000E+00 0.00000E+00
RCOOH25    0.00000E+00 0.00000E+00
BPINENE    0.00000E+00 0.00000E+00
